supplier_id,supplier_name,country,contact_email,rating
S001,Williams Group,Maldives,maria41@weaver.biz,3
S002,"Farmer, Gregory and Arnold",Svalbard & Jan Mayen Islands,andrewskenneth@peterson.biz,5
S003,"Moore, Rodriguez and Parsons",Libyan Arab Jamahiriya,cherylspears@pratt.com,4
S004,"Martinez, Salinas and Holmes",Belize,katie57@mendoza-howard.com,5
S005,Curry and Sons,Costa Rica,kalexander@king.com,3
S006,Jones-Harris,Ireland,greenpatricia@rogers-simmons.com,5
S007,Hubbard Group,Guernsey,ruben01@moore.com,3
S008,Wilson Ltd,Korea,sellersapril@sanchez.info,5
S009,"Kelly, Kim and Walker",Togo,wmartinez@bradford-cooper.com,4
S010,Hernandez-Williams,Jersey,zmorris@murillo.org,5
S011,Ford-Lyons,Wallis and Futuna,amy27@anderson-beltran.com,3
S012,Bailey LLC,Syrian Arab Republic,charles79@phillips.com,3
S013,Garrett Inc,Antarctica (the territory South of 60 deg S),wwright@johnston.com,3
S014,Davis Group,Pakistan,jennifer42@smith.com,4
S015,Harvey-Harrison,Saint Barthelemy,patriciabrewer@robinson.com,4
S016,Kemp Ltd,Belarus,sarahwest@davis.com,4
S017,"Carpenter, Steele and Johnson",Hungary,tracybrooks@young.com,3
S018,"Lopez, Whitaker and Long",Kazakhstan,johnblankenship@ray.biz,5
S019,"Hines, Russell and Norris",Saint Lucia,melissa22@palmer.info,5
S020,Harris Group,Djibouti,andrea25@lynch.biz,5
